FirstName,LastName,Email,Telephone,OrderId,ProductName,ProductCode,Reason,ExpectedResult
nk,hhhh,mt@gmail.com,9999999,fdfd,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abc12345,wddw,Dead On Arrival,Product Name must be greater than 3 and less than 255 characters!
nkn,nhhh,mt@gmail.com,123234,fdfd,332232,wd,Dead On Arrival,Product Name must be greater than 3 and less than 255 characters!
ntht,kkkk,vm@gmail.com,4554655,12,444444,abc,Dead On Arrival,Product Name must be greater than 3 and less than 255 characters!
ntht,dffddf,mt@gmail.com,4554655,12,444444,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789a1,Dead On Arrival,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
ntht,dffddf,mt@gmail.com,4554655,223,refdf,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789a12,Dead On Arrival,Product Name must be greater than 3 and less than 255 characters!
ntht,,mt@gmail.com,3233,12,refdf,12,Dead On Arrival,Last Name must be between 1 and 32 characters!
ntht,,mt@gmail.com,3233,12,refdf,12,Dead On Arrival,Last Name must be between 1 and 32 characters!
ntht,h,mt@gmail.com,3233,12,refdf,32,Dead On Arrival,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
ntht,999999999999999999999999999999999999999999999999,mt@gmail.com,3233,12,refdf,32,Dead On Arrival,Last Name must be between 1 and 32 characters!
mk,nkn,mt@gmail.com,2332,12,refdf,32,Dead On Arrival,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
mk,nkn,mt,2332,12,refdf,32,Dead On Arrival,
,nkn,mt,2332,12,refdf,32,Dead On Arrival,First Name must be between 1 and 32 characters!
nk,nkn,mt,12,12,refdf,32,Dead On Arrival,Telephone must be between 3 and 32 characters!
nk,nkn,mt,2332,,refdf,32,Dead On Arrival,
nk,nkn,mt,12,1221,,232,Dead On Arrival,Product Name must be greater than 3 and less than 255 characters!
nk,nkn,mt,12,1221,kjl,,Dead On Arrival,Product Model must be greater than 3 and less than 64 characters!
nk,nkn,mt,12,1221,kjl,12,,You must select a return product reason!
nk,,mt,12,1221,kjl,12332,Dead On Arrival,Last Name must be between 1 and 32 characters!
mk,nkn,mt@gmail.com,2332,12,refdf,32,Dead On Arrival,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
mk,nkn,mt,2332,12,refdf,32,Dead On Arrival,Last Name must be between 1 and 32 characters!
mk,nkn,mt@gmail.com,2332,12,refdf,,"Received Wrong Item
",Product Model must be greater than 3 and less than 64 characters!
mk,nkn,mt@gmail.com,2332,12,refdf,32,Dead On Arrival,You must select a return product reason!
mk,nkn,mt@gmail.com,2332,12,refdf,32,Dead On Arrival,Thank you for submitting your return request. Your request has been sent to the relevant department for processing. You will be notified via e-mail as to the status of your request.
,kmkwkm,mt@gmail.com,433,1,fdfd,wddw,Dead On Arrival,First Name must be between 1 and 32 characters!
ntht,,mt@gmail.com,3233,12,refdf,12,Dead On Arrival,Last Name must be between 1 and 32 characters!
ntht,kwkwkm,,3233,12,refdf,12,Dead On Arrival,
ntht,kwkwkm,mt@gmail.com,,12,refdf,12,Dead On Arrival,Telephone must be between 3 and 32 characters!
ntht,kwkwkm,mt@gmail.com,3233,,refdf,12,Dead On Arrival,
ntht,kwkwkm,mt@gmail.com,3233,12,,12,Dead On Arrival,Product Name must be greater than 3
ntht,kwkwkm,mt@gmail.com,3233,12,refdf,,Dead On Arrival,Product Model must be greater than 3
mk,nkn,mt@gmail.com,2332,12,refdf,32,,You must select a return product reason!
