FirstName,LastName,Address1,City,PostCode,Country,Region/State,Expected1,Expected2,Expected3,Expected4,Expected5,Expected6
John,Doe,,Hanoi,,Viet Nam,Ha Noi,Address must be between 3 and 128 characters!,Postcode must be between 2 and 10 characters!,,,,
John,Doe,,Hanoi,70000,,Ha Noi,Address must be between 3 and 128 characters!,Please select a country!,,,,
John,Doe,,Hanoi,70000,Viet Nam,,Address must be between 3 and 128 characters!,Please select a region / state!,,,,
John,Doe,123 Sample Street,, ,Viet Nam,Ha Noi,City must be between 2 and 128 characters!,Postcode must be between 2 and 10 characters!,,,,
John,Doe,123 Sample Street,,70000,,Ha Noi,City must be between 2 and 128 characters!,Please select a country!,,,,
John,Doe,123 Sample Street,,70000,Viet Nam,,City must be between 2 and 128 characters!,Please select a region / state!,,,,
John,Doe,123 Sample Street,Hanoi,, ,Ha Noi,Postcode must be between 2 and 10 characters!,Please select a country!,,,,
John,Doe,123 Sample Street,Hanoi,,Viet Nam,,Postcode must be between 2 and 10 characters!,Please select a region / state!,,,,
, , ,Hanoi,70000,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,Last Name must be between 1 and 32 characters!,Address must be between 3 and 128 characters!,,,
, Doe,, ,70000,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,Address must be between 3 and 128 characters!,City must be between 2 and 128 characters!,,,
, Doe,,Hanoi,,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,Address must be between 3 and 128 characters!,Postcode must be between 2 and 10 characters!,,,
John,, , ,70000,Viet Nam,Ha Noi,Last Name must be between 1 and 32 characters!,Address must be between 3 and 128 characters!,City must be between 2 and 128 characters!,,,
John,, ,Hanoi,,Viet Nam,Ha Noi,Last Name must be between 1 and 32 characters!,Address must be between 3 and 128 characters!,Postcode must be between 2 and 10 characters!,,,
John,Doe,, , ,Viet Nam,Ha Noi,Address must be between 3 and 128 characters!,City must be between 2 and 128 characters!,Postcode must be between 2 and 10 characters!,,,
, , , ,70000,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,Last Name must be between 1 and 32 characters!,Address must be between 3 and 128 characters!,City must be between 2 and 128 characters!,,
, , ,Hanoi,,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,Last Name must be between 1 and 32 characters!,Address must be between 3 and 128 characters!,Postcode must be between 2 and 10 characters!,,
, Doe,, , ,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,Address must be between 3 and 128 characters!,City must be between 2 and 128 characters!,Postcode must be between 2 and 10 characters!,,
John,, , , ,Viet Nam,Ha Noi,Last Name must be between 1 and 32 characters!,Address must be between 3 and 128 characters!,City must be between 2 and 128 characters!,Postcode must be between 2 and 10 characters!,,
, , , , ,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,Last Name must be between 1 and 32 characters!,Address must be between 3 and 128 characters!,City must be between 2 and 128 characters!,Postcode must be between 2 and 10 characters!,
, Doe,, , ,Viet Nam,Ha Noi,First Name must be between 1 and 32 characters!,Address must be between 3 and 128 characters!,Last Name must be between 1 and 32 characters!,City must be between 2 and 128 characters!,Postcode must be between 2 and 10 characters!,
, , , , , , ,First Name must be between 1 and 32 characters!,Last Name must be between 1 and 32 characters!,Address must be between 3 and 128 characters!,City must be between 2 and 128 characters!,Postcode must be between 2 and 10 characters!,Please select a country!
