TestCaseID,BaseURL,LoginURL,EmailField,PasswordField,SubmitLogin,LoginEmail,LoginPassword,ReturnFormURL,FirstNameField,LastNameField,EmailInputField,TelephoneField,OrderIdField,ProductNameField,ProductCodeField,ReturnReasonField,FirstName,LastName,Email,Telephone,OrderId,ProductName,ProductCode,SelectReturnReason,Expected
TC-008-028,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],nk,nkn,mt,12,1221,kjl,12,no,You must select a return product reason!
TC-008-029,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],nk,,mt,12,1221,kjl,12332,yes,Last Name must be between 1 and 32 characters!
TC-008-030,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],mk,nkn,mt@gmail.com,2332,12,refdf,32,yes,Thank you for submitting your return request
TC-008-031,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],mk,,mt,2332,12,refdf,32,yes,Last Name must be between 1 and 32 characters!
TC-008-032,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],mk,nkn,mt@gmail.com,2332,12,refdf,,yes,Product Model must be greater than 3 and less than 64 characters!
TC-008-033,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],mk,nkn,mt@gmail.com,2332,12,refdf,32,no,You must select a return product reason!
TC-008-034,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],mk,nkn,mt@gmail.com,2332,12,refdf,32,yes,Thank you for submitting your return request
TC-008-035,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],,kmkwkm,mt@gmail.com,433,1,fdfd,wddw,yes,First Name must be between 1 and 32 characters!
TC-008-036,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],ntht,,mt@gmail.com,3233,12,refdf,12,yes,Last Name must be between 1 and 32 characters!
TC-008-037,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],ntht,kwkwkm,,3233,12,refdf,12,yes,E-Mail Address does not appear to be valid!
TC-008-038,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],ntht,kwkwkm,mt@gmail.com,,12,refdf,12,yes,Telephone must be between 3 and 32 characters!
TC-008-039,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],ntht,kwkwkm,mt@gmail.com,3233,,refdf,12,yes,Order ID required!
TC-008-040,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],ntht,kwkwkm,mt@gmail.com,3233,12,,12,yes,Product Name must be greater than 3 and less than 255 characters!
TC-008-041,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],ntht,kwkwkm,mt@gmail.com,3233,12,refdf,,yes,Product Model must be greater than 3 and less than 64 characters!
TC-008-042,https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khang@gmail.com,watdiw-boRnij-0cypsi,index.php?route=account/return/add,#input-firstname,#input-lastname,#input-email,#input-telephone,#input-order-id,#input-product,#input-model,input[name='return_reason_id'],mk,nkn,mt@gmail.com,2332,12,refdf,32,no,You must select a return product reason!
