BaseURL,LoginURL,EmailField,PasswordField,SubmitLogin,Email,Password,AddressBookURL,FirstName,LastName,Address1,City,PostCode,Country,Region/State,Expected
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,New,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,Newy,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,Newyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,Newyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,Hanoi,70000,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,Newyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,Hanoi,70000,Viet Nam,Ha Noi,Address must be between 3 and 128 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Sample Street,H,70000,Viet Nam,Ha Noi,City must be between 2 and 128 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Sample Street,HC,70000,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Sample Street,HCM,70000,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Sample Street,HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,70000,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Sample Street,HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,70000,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Sample Street,HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,70000,Viet Nam,Ha Noi,City must be between 2 and 128 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Sample Street,Hanoi,1,Viet Nam,Ha Noi,Postcode must be between 2 and 10 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Sample Street,Hanoi,11,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Sample Street,Hanoi,111,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Sample Street,Hanoi,111111111,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Sample Street,Hanoi,1111111111,Viet Nam,Ha Noi,Your address has been successfully added
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Sample Street,Hanoi,11111111111,Viet Nam,Ha Noi,Postcode must be between 2 and 10 characters!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Main St,Hanoi,10000,,,Please select a country!
https://ecommerce-playground.lambdatest.io,index.php?route=account/login,#input-email,#input-password,input[type='submit'],khangnha7@gmail.com,123456,index.php?route=account/address,John,Doe,123 Main St,Hanoi,10000,Viet Nam,,Please select a region / state!
