ID,type,expected result,password,email,telephone,First Name,Last Name,Password Confirm,Privacy Policy,privacy_xpath,error_xpath,url,fn_id,ln_id,email_id,phone_id,pass_id,confirm_id,privacy_name,submit_xpath
TC-004-011,telephone fail,Telephone must be between 3 and 32 characters!,,,12,,,,,//label[@for='input-agree'],//input[@id='input-telephone']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-012,missing field,First Name must be between 1 and 32 characters!,,,,,,,,//label[@for='input-agree'],//input[@id='input-firstname']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-013,register successful,Your Account Has Been Created!,1111,i1ts2zwl3u@gmail.com,1111,aaaa,aaaa,1111,TRUE,//label[@for='input-agree'],,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-014,email fail 3,Warning: E-Mail Address is already registered!,,abc01@gmail.com,,,,,TRUE,//label[@for='input-agree'],"//div[contains(@class, 'alert-danger')]",https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-015,password mismatch,Password confirmation does not match password!,3333,,,,,4444,,//label[@for='input-agree'],//input[@id='input-confirm']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-016,email fail 1,Please include an @ in the email address,,aaaav,,,,,,//label[@for='input-agree'],HTML5_CHECK,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-017,missing field 2,E-Mail Address does not appear to be valid!,,,,,,,,//label[@for='input-agree'],//input[@id='input-email']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-018,privacy not checked,Warning: You must agree to the Privacy Policy!,,,,,,,FALSE,//label[@for='input-agree'],"//div[contains(@class, 'alert-danger')]",https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-019,register successful,Your Account Has Been Created!,1111,b3ei2rlyz3@gmail.com,1111,aaaa,aaaa,1111,TRUE,//label[@for='input-agree'],,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-020,email fail 3,Warning: E-Mail Address is already registered!,,abc01@gmail.com,,,,,TRUE,//label[@for='input-agree'],"//div[contains(@class, 'alert-danger')]",https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-021,email fail 1,Please include an @ in the email address,,asdasd,,,,,,//label[@for='input-agree'],HTML5_CHECK,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-022,password mismatch,Password confirmation does not match password!,1111,,,,,2222,,//label[@for='input-agree'],//input[@id='input-confirm']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-023,privacy not checked,Warning: You must agree to the Privacy Policy!,,,,,,,FALSE,//label[@for='input-agree'],"//div[contains(@class, 'alert-danger')]",https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-024,missing field 3,Last Name must be between 1 and 32 characters!,,,,,,,,//label[@for='input-agree'],//input[@id='input-lastname']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-025,first name fail,First Name must be between 1 and 32 characters!,,,,,,,,//label[@for='input-agree'],//input[@id='input-firstname']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-026,last name fail,Last Name must be between 1 and 32 characters!,,,,,,,,//label[@for='input-agree'],//input[@id='input-lastname']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-027,telephone fail,Telephone must be between 3 and 32 characters!,,,11,,,,,//label[@for='input-agree'],//input[@id='input-telephone']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
TC-004-028,password fail,Password must be between 4 and 20 characters!,111,,,,,,,//label[@for='input-agree'],//input[@id='input-password']/following-sibling::div,https://ecommerce-playground.lambdatest.io/index.php?route=account/register,input-firstname,input-lastname,input-email,input-telephone,input-password,input-confirm,agree,//input[@value='Continue']
